doctor,eeg
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,9
NonREM2,9
NonREM2,9
NonREM2,9
Wake,9
NonREM2,9
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,9
NonREM2,9
NonREM2,9
NonREM2,9
NonREM2,9
NonREM2,8
NonREM2,9
NonREM2,9
NonREM2,10
NonREM2,10
NonREM2,10
NonREM2,10
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,7
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,9
NonREM2,9
NonREM2,9
NonREM2,9
NonREM2,10
NonREM2,11
NonREM2,10
NonREM2,11
NonREM2,10
NonREM2,10
NonREM2,9
NonREM2,10
NonREM2,11
NonREM2,10
Wake,10
NonREM2,10
NonREM2,10
NonREM2,9
NonREM2,9
NonREM2,9
NonREM2,9
NonREM2,9
NonREM2,9
NonREM2,9
NonREM2,8
NonREM2,8
NonREM2,9
NonREM2,9
NonREM2,9
NonREM2,9
NonREM2,9
NonREM2,10
NonREM2,10
NonREM2,9
NonREM2,9
NonREM2,9
NonREM2,8
NonREM2,6
REM,6
REM,6
REM,6
REM,5
REM,5
REM,5
REM,5
REM,4
REM,4
REM,5
REM,4
REM,5
REM,5
REM,6
REM,6
REM,5
REM,6
REM,6
REM,6
REM,5
REM,4
REM,4
REM,3
REM,4
REM,4
REM,5
REM,5
REM,6
REM,8
REM,7
REM,6
Wake,5
NonREM1,4
NonREM1,4
REM,2
REM,3
REM,5
REM,5
REM,5
REM,5
REM,5
REM,5
REM,3
REM,3
REM,3
REM,3
REM,4
REM,5
REM,6
REM,7
REM,7
REM,6
Wake,5
NonREM1,5
NonREM1,5
NonREM1,3
REM,4
REM,4
REM,5
REM,5
REM,5
REM,5
REM,6
REM,7
REM,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,6
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,8
NonREM2,8
NonREM2,9
NonREM2,9
NonREM2,9
NonREM2,9
NonREM2,8
NonREM2,8
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,9
NonREM2,9
